NAME                      IMAGE                     COMMAND                  SERVICE          CREATED          STATUS                    PORTS
sentient-api-1            sentient-sentient-api-1   "docker-entrypoint.s…"   sentient-api-1   7 hours ago      Up 2 hours (healthy)      0.0.0.0:3000->3000/tcp, 0.0.0.0:9229->9229/tcp
sentient-api-2            sentient-sentient-api-2   "docker-entrypoint.s…"   sentient-api-2   7 hours ago      Up 2 hours (healthy)      0.0.0.0:3001->3000/tcp, 0.0.0.0:9228->9229/tcp
sentient-device-monitor   sentient-device-monitor   "docker-entrypoint.s…"   device-monitor   7 hours ago      Up 7 hours (healthy)      0.0.0.0:3003->3003/tcp, 0.0.0.0:9231->9231/tcp
sentient-grafana          grafana/grafana:latest    "/run.sh"                grafana          57 minutes ago   Up 57 minutes (healthy)   0.0.0.0:3200->3000/tcp
sentient-loki             grafana/loki:latest       "/usr/bin/loki -conf…"   loki             21 hours ago     Up 56 minutes (healthy)   0.0.0.0:3100->3100/tcp
sentient-mosquitto        eclipse-mosquitto:2       "/docker-entrypoint.…"   mosquitto        22 hours ago     Up 22 hours (healthy)     0.0.0.0:1883->1883/tcp, 0.0.0.0:9001->9001/tcp
sentient-nginx            nginx:1.25-alpine         "/docker-entrypoint.…"   nginx            7 hours ago      Up 7 hours (healthy)      0.0.0.0:80->80/tcp, 0.0.0.0:443->443/tcp
sentient-postgres         postgres:16-alpine        "docker-entrypoint.s…"   postgres         7 hours ago      Up 7 hours (healthy)      0.0.0.0:5432->5432/tcp
sentient-prometheus       prom/prometheus:latest    "/bin/prometheus --c…"   prometheus       21 hours ago     Up 57 minutes (healthy)   0.0.0.0:9090->9090/tcp
sentient-promtail         grafana/promtail:latest   "/usr/bin/promtail -…"   promtail         21 hours ago     Up 21 hours               
sentient-scene-executor   sentient-scene-executor   "docker-entrypoint.s…"   scene-executor   7 hours ago      Up 7 hours (healthy)      0.0.0.0:3004->3004/tcp, 0.0.0.0:9230->9230/tcp
sentient-web              sentient-sentient-web     "docker-entrypoint.s…"   sentient-web     7 hours ago      Up 7 hours (healthy)      0.0.0.0:3002->3002/tcp
